section,key,subkey,value
character,level,,102
character,all_skills,,48
character,combat_mode,,stage
character,chapter,,Chapter 29
equipment,hat,name,
equipment,hat,rarity,Normal
equipment,hat,tier,1
equipment,hat,stars,14
equipment,hat,is_special,True
equipment,hat,base_attack,200
equipment,hat,base_max_hp,0
equipment,hat,base_third_stat,0
equipment,hat,sub_boss_damage,0
equipment,hat,sub_normal_damage,0
equipment,hat,sub_crit_rate,0
equipment,hat,sub_crit_damage,0
equipment,hat,sub_attack_flat,0
equipment,hat,sub_skill_1st,0
equipment,hat,sub_skill_2nd,0
equipment,hat,sub_skill_3rd,0
equipment,hat,sub_skill_4th,0
equipment,hat,special_stat_type,damage_pct
equipment,hat,special_stat_value,0
equipment,top,name,Top
equipment,top,rarity,Normal
equipment,top,tier,1
equipment,top,stars,0
equipment,top,is_special,False
equipment,top,base_attack,0
equipment,top,base_max_hp,0
equipment,top,base_third_stat,0
equipment,top,sub_boss_damage,0
equipment,top,sub_normal_damage,0
equipment,top,sub_crit_rate,0
equipment,top,sub_crit_damage,0
equipment,top,sub_attack_flat,0
equipment,top,sub_skill_1st,0
equipment,top,sub_skill_2nd,0
equipment,top,sub_skill_3rd,0
equipment,top,sub_skill_4th,0
equipment,top,special_stat_type,damage_pct
equipment,top,special_stat_value,0
equipment,bottom,name,Bottom
equipment,bottom,rarity,Normal
equipment,bottom,tier,1
equipment,bottom,stars,0
equipment,bottom,is_special,False
equipment,bottom,base_attack,0
equipment,bottom,base_max_hp,0
equipment,bottom,base_third_stat,0
equipment,bottom,sub_boss_damage,0
equipment,bottom,sub_normal_damage,0
equipment,bottom,sub_crit_rate,0
equipment,bottom,sub_crit_damage,0
equipment,bottom,sub_attack_flat,0
equipment,bottom,sub_skill_1st,0
equipment,bottom,sub_skill_2nd,0
equipment,bottom,sub_skill_3rd,0
equipment,bottom,sub_skill_4th,0
equipment,bottom,special_stat_type,damage_pct
equipment,bottom,special_stat_value,0
equipment,gloves,name,Gloves
equipment,gloves,rarity,Normal
equipment,gloves,tier,1
equipment,gloves,stars,0
equipment,gloves,is_special,False
equipment,gloves,base_attack,0
equipment,gloves,base_max_hp,0
equipment,gloves,base_third_stat,0
equipment,gloves,sub_boss_damage,0
equipment,gloves,sub_normal_damage,0
equipment,gloves,sub_crit_rate,0
equipment,gloves,sub_crit_damage,0
equipment,gloves,sub_attack_flat,0
equipment,gloves,sub_skill_1st,0
equipment,gloves,sub_skill_2nd,0
equipment,gloves,sub_skill_3rd,0
equipment,gloves,sub_skill_4th,0
equipment,gloves,special_stat_type,damage_pct
equipment,gloves,special_stat_value,0
equipment,shoes,name,Shoes
equipment,shoes,rarity,Normal
equipment,shoes,tier,1
equipment,shoes,stars,0
equipment,shoes,is_special,False
equipment,shoes,base_attack,0
equipment,shoes,base_max_hp,0
equipment,shoes,base_third_stat,0
equipment,shoes,sub_boss_damage,0
equipment,shoes,sub_normal_damage,0
equipment,shoes,sub_crit_rate,0
equipment,shoes,sub_crit_damage,0
equipment,shoes,sub_attack_flat,0
equipment,shoes,sub_skill_1st,0
equipment,shoes,sub_skill_2nd,0
equipment,shoes,sub_skill_3rd,0
equipment,shoes,sub_skill_4th,0
equipment,shoes,special_stat_type,damage_pct
equipment,shoes,special_stat_value,0
equipment,belt,name,Belt
equipment,belt,rarity,Normal
equipment,belt,tier,1
equipment,belt,stars,0
equipment,belt,is_special,False
equipment,belt,base_attack,0
equipment,belt,base_max_hp,0
equipment,belt,base_third_stat,0
equipment,belt,sub_boss_damage,0
equipment,belt,sub_normal_damage,0
equipment,belt,sub_crit_rate,0
equipment,belt,sub_crit_damage,0
equipment,belt,sub_attack_flat,0
equipment,belt,sub_skill_1st,0
equipment,belt,sub_skill_2nd,0
equipment,belt,sub_skill_3rd,0
equipment,belt,sub_skill_4th,0
equipment,belt,special_stat_type,damage_pct
equipment,belt,special_stat_value,0
equipment,shoulder,name,Shoulder
equipment,shoulder,rarity,Normal
equipment,shoulder,tier,1
equipment,shoulder,stars,0
equipment,shoulder,is_special,False
equipment,shoulder,base_attack,0
equipment,shoulder,base_max_hp,0
equipment,shoulder,base_third_stat,0
